70 4830
1 2 4827
1 3 1763
1 4 110
1 5 544
1 6 962
1 7 1389
1 8 1883
1 9 5757
1 10 173
1 11 1425
1 12 42
1 13 4624
1 14 5741
1 15 1679
1 16 117
1 17 2685
1 18 3530
1 19 2556
1 20 3840
1 21 2149
1 22 2427
1 23 7118
1 24 5431
1 25 6605
1 26 4737
1 27 1235
1 28 4610
1 29 1314
1 30 4192
1 31 3182
1 32 5744
1 33 5521
1 34 4003
1 35 6730
1 36 4760
1 37 1188
1 38 1959
1 39 1495
1 40 3236
1 41 2677
1 42 3194
1 43 3218
1 44 1403
1 45 1963
1 46 4129
1 47 3075
1 48 1267
1 49 1229
1 50 1177
1 51 2683
1 52 5988
1 53 2699
1 54 3951
1 55 2146
1 56 1130
1 57 2612
1 58 5563
1 59 3825
1 60 5463
1 61 3842
1 62 5219
1 63 150
1 64 5386
1 65 2807
1 66 4368
1 67 4624
1 68 246
1 69 5751
1 70 3371
2 1 590
2 3 1511
2 4 4706
2 5 2291
2 6 1867
2 7 6218
2 8 4995
2 9 2593
2 10 768
2 11 1449
2 12 2505
2 13 6411
2 14 5304
2 15 1378
2 16 2937
2 17 847
2 18 3950
2 19 2607
2 20 4979
2 21 2298
2 22 2701
2 23 5093
2 24 7197
2 25 5395
2 26 5600
2 27 894
2 28 2886
2 29 5391
2 30 1112
2 31 1924
2 32 1208
2 33 4902
2 34 6971
2 35 4135
2 36 4931
2 37 2477
2 38 6739
2 39 4293
2 40 6011
2 41 4239
2 42 4025
2 43 6583
2 44 1549
2 45 7164
2 46 7100
2 47 2611
2 48 5244
2 49 6246
2 50 3747
2 51 5858
2 52 1642
2 53 668
2 54 5769
2 55 2047
2 56 5610
2 57 6924
2 58 4734
2 59 6409
2 60 4394
2 61 140
2 62 2450
2 63 102
2 64 3419
2 65 5004
2 66 3381
2 67 7348
2 68 6047
2 69 6857
2 70 7149
3 1 1912
3 2 4152
3 4 2097
3 5 5432
3 6 4469
3 7 1449
3 8 7184
3 9 5509
3 10 4573
3 11 5336
3 12 1
3 13 1465
3 14 594
3 15 1859
3 16 2652
3 17 3433
3 18 1596
3 19 2956
3 20 1714
3 21 5360
3 22 5681
3 23 6517
3 24 5996
3 25 4633
3 26 1400
3 27 6150
3 28 6344
3 29 5839
3 30 4482
3 31 845
3 32 7049
3 33 5444
3 34 7289
3 35 1945
3 36 5022
3 37 912
3 38 6827
3 39 3659
3 40 1044
3 41 6617
3 42 1988
3 43 1410
3 44 7095
3 45 6177
3 46 4505
3 47 2760
3 48 6901
3 49 6117
3 50 347
3 51 2029
3 52 940
3 53 6596
3 54 420
3 55 7032
3 56 3585
3 57 1278
3 58 4938
3 59 4662
3 60 6497
3 61 2470
3 62 4473
3 63 5121
3 64 314
3 65 5410
3 66 1364
3 67 549
3 68 663
3 69 1301
3 70 4633
4 1 3142
4 2 892
4 3 1961
4 5 1172
4 6 4927
4 7 6147
4 8 2985
4 9 1597
4 10 1721
4 11 4675
4 12 5025
4 13 3339
4 14 5202
4 15 4514
4 16 729
4 17 1054
4 18 6476
4 19 2557
4 20 6043
4 21 3183
4 22 3480
4 23 6602
4 24 3049
4 25 2026
4 26 1229
4 27 1020
4 28 4522
4 29 4272
4 30 315
4 31 2145
4 32 3563
4 33 6527
4 34 2599
4 35 3557
4 36 7283
4 37 19
4 38 302
4 39 5378
4 40 7382
4 41 880
4 42 2264
4 43 6115
4 44 4984
4 45 5993
4 46 4688
4 47 565
4 48 1522
4 49 4276
4 50 5336
4 51 5633
4 52 1137
4 53 3478
4 54 2620
4 55 7263
4 56 609
4 57 2927
4 58 4057
4 59 3385
4 60 4545
4 61 7350
4 62 2582
4 63 3659
4 64 5284
4 65 5094
4 66 6205
4 67 124
4 68 1815
4 69 6508
4 70 1585
5 1 4141
5 2 6022
5 3 2725
5 4 5219
5 6 2690
5 7 7091
5 8 416
5 9 191
5 10 5923
5 11 6671
5 12 4896
5 13 1434
5 14 1291
5 15 5377
5 16 731
5 17 3568
5 18 84
5 19 2022
5 20 6579
5 21 3220
5 22 405
5 23 5848
5 24 6611
5 25 6950
5 26 2943
5 27 4578
5 28 5238
5 29 4213
5 30 2018
5 31 6038
5 32 7378
5 33 7344
5 34 379
5 35 6882
5 36 1263
5 37 7207
5 38 1706
5 39 2349
5 40 6421
5 41 5077
5 42 4253
5 43 2503
5 44 5805
5 45 3447
5 46 2096
5 47 1640
5 48 4274
5 49 1378
5 50 3069
5 51 5704
5 52 3567
5 53 5414
5 54 6653
5 55 3
5 56 4830
5 57 128
5 58 106
5 59 2660
5 60 6087
5 61 2752
5 62 1440
5 63 2310
5 64 2866
5 65 5352
5 66 3544
5 67 6589
5 68 4815
5 69 3414
5 70 728
6 1 894
6 2 2688
6 3 7363
6 4 1153
6 5 2276
6 7 1569
6 8 3124
6 9 2878
6 10 890
6 11 5611
6 12 3683
6 13 5176
6 14 6023
6 15 6957
6 16 2392
6 17 5614
6 18 527
6 19 3242
6 20 4151
6 21 2494
6 22 5640
6 23 640
6 24 5116
6 25 5409
6 26 5121
6 27 4044
6 28 1829
6 29 2471
6 30 1108
6 31 4230
6 32 5113
6 33 3054
6 34 5975
6 35 7391
6 36 6622
6 37 6562
6 38 1135
6 39 5278
6 40 3507
6 41 4270
6 42 6202
6 43 4481
6 44 2997
6 45 3723
6 46 6186
6 47 278
6 48 2589
6 49 36
6 50 4552
6 51 3535
6 52 7360
6 53 1407
6 54 2656
6 55 2422
6 56 4832
6 57 1269
6 58 5566
6 59 377
6 60 1661
6 61 5895
6 62 2436
6 63 1743
6 64 7495
6 65 2251
6 66 6664
6 67 4238
6 68 5499
6 69 2520
6 70 1036
7 1 2767
7 2 6237
7 3 5621
7 4 2028
7 5 5134
7 6 1271
7 8 2800
7 9 6256
7 10 6046
7 11 2141
7 12 1287
7 13 415
7 14 6814
7 15 4470
7 16 6762
7 17 2272
7 18 6761
7 19 6022
7 20 1250
7 21 903
7 22 1730
7 23 2301
7 24 7406
7 25 4795
7 26 655
7 27 2119
7 28 5728
7 29 814
7 30 5270
7 31 7223
7 32 6938
7 33 6370
7 34 6192
7 35 408
7 36 2679
7 37 2789
7 38 6455
7 39 2382
7 40 6358
7 41 4130
7 42 7365
7 43 5486
7 44 2690
7 45 599
7 46 1747
7 47 7486
7 48 4734
7 49 3558
7 50 4412
7 51 3429
7 52 6599
7 53 6505
7 54 3055
7 55 358
7 56 3861
7 57 6601
7 58 33
7 59 9
7 60 4592
7 61 7012
7 62 4905
7 63 253
7 64 5992
7 65 5696
7 66 2380
7 67 4935
7 68 3841
7 69 27
7 70 569
8 1 3388
8 2 6232
8 3 1731
8 4 3168
8 5 60
8 6 1153
8 7 6171
8 9 5722
8 10 151
8 11 5287
8 12 3005
8 13 2010
8 14 3977
8 15 7149
8 16 1650
8 17 3834
8 18 1875
8 19 1613
8 20 4618
8 21 5472
8 22 6038
8 23 1453
8 24 782
8 25 4436
8 26 3442
8 27 894
8 28 843
8 29 2757
8 30 5911
8 31 4360
8 32 2675
8 33 7446
8 34 2320
8 35 4787
8 36 1055
8 37 3627
8 38 190
8 39 5186
8 40 406
8 41 1460
8 42 696
8 43 6269
8 44 931
8 45 7349
8 46 2324
8 47 2443
8 48 5127
8 49 4778
8 50 635
8 51 1895
8 52 6956
8 53 4615
8 54 2592
8 55 5936
8 56 134
8 57 743
8 58 242
8 59 7077
8 60 4434
8 61 5088
8 62 3689
8 63 6420
8 64 3407
8 65 2645
8 66 2410
8 67 3334
8 68 6234
8 69 6235
8 70 5180
9 1 2851
9 2 3880
9 3 2301
9 4 5703
9 5 2258
9 6 266
9 7 5472
9 8 4985
9 10 4798
9 11 3305
9 12 3204
9 13 2710
9 14 3759
9 15 4061
9 16 2803
9 17 6909
9 18 6654
9 19 7148
9 20 6520
9 21 2872
9 22 6363
9 23 2945
9 24 563
9 25 4493
9 26 4180
9 27 6003
9 28 6197
9 29 5778
9 30 4063
9 31 183
9 32 3441
9 33 2317
9 34 5778
9 35 4805
9 36 1811
9 37 4004
9 38 4396
9 39 4513
9 40 2712
9 41 5719
9 42 725
9 43 3345
9 44 4020
9 45 3397
9 46 7228
9 47 5589
9 48 3934
9 49 3658
9 50 4056
9 51 5127
9 52 6085
9 53 1477
9 54 5845
9 55 3680
9 56 6777
9 57 1748
9 58 731
9 59 1548
9 60 7423
9 61 4865
9 62 2297
9 63 5924
9 64 6566
9 65 2904
9 66 4681
9 67 5220
9 68 2742
9 69 6411
9 70 7397
10 1 2065
10 2 3173
10 3 1870
10 4 6848
10 5 7111
10 6 899
10 7 557
10 8 3083
10 9 4707
10 11 5230
10 12 4112
10 13 3197
10 14 2763
10 15 4050
10 16 7106
10 17 4628
10 18 5049
10 19 164
10 20 1763
10 21 6316
10 22 766
10 23 1300
10 24 4442
10 25 3530
10 26 2531
10 27 5028
10 28 5760
10 29 2805
10 30 1885
10 31 2483
10 32 3393
10 33 1702
10 34 7151
10 35 1341
10 36 4004
10 37 479
10 38 2672
10 39 6245
10 40 2951
10 41 2648
10 42 4715
10 43 2655
10 44 5734
10 45 1472
10 46 92
10 47 338
10 48 3618
10 49 3413
10 50 1212
10 51 113
10 52 6230
10 53 6624
10 54 3415
10 55 1081
10 56 6162
10 57 4176
10 58 2001
10 59 3183
10 60 1905
10 61 4629
10 62 5380
10 63 3631
